"Month","Day","State","Regular","MidGrade","Premium","Diesel"
1,1,"Alabama",2.343,2.652,2.984,2.85
1,2,"Alabama",2.35,2.653,2.985,2.852
1,3,"Alabama",2.36,2.663,2.99,2.85
1,1,"Alaska",2.991,3.126,3.265,3.105
1,2,"Alaska",2.97,3.114,3.244,3.098
1,3,"Alaska",2.974,3.097,3.24,3.103
1,1,"Arizona",2.834,3.092,3.313,3.062
1,2,"Arizona",2.833,3.088,3.311,3.061
1,3,"Arizona",2.83,3.084,3.303,3.06
1,1,"Arkansas",2.293,2.566,2.849,2.772
1,2,"Arkansas",2.293,2.571,2.847,2.775
1,3,"Arkansas",2.293,2.572,2.851,2.775
1,1,"California",3.558,3.732,3.846,3.941
1,2,"California",3.557,3.73,3.845,3.943
1,3,"California",3.55,3.728,3.841,3.942
1,1,"Colorado",2.684,2.99,3.258,2.885
1,2,"Colorado",2.681,2.983,3.256,2.884
1,3,"Colorado",2.676,2.976,3.253,2.878
1,1,"Connecticut",2.684,3.008,3.223,3.173
1,2,"Connecticut",2.682,3,3.22,3.17
1,3,"Connecticut",2.686,3.01,3.221,3.175
1,1,"Delaware",2.399,2.748,2.954,2.947
1,2,"Delaware",2.399,2.747,2.986,2.947
1,3,"Delaware",2.388,2.744,2.974,2.946
1,1,"District of Columbia",2.717,3.206,3.351,3.141
1,2,"District of Columbia",2.716,3.21,3.34,3.14
1,3,"District of Columbia",2.712,3.213,3.336,3.119
1,1,"Florida",2.459,2.795,3.077,2.87
1,2,"Florida",2.458,2.793,3.075,2.869
1,3,"Florida",2.496,2.82,3.099,2.897
1,1,"Georgia",2.442,2.747,3.046,2.944
1,2,"Georgia",2.443,2.747,3.051,2.945
1,3,"Georgia",2.452,2.755,3.061,2.943
1,1,"Hawaii",3.66,3.841,4.03,4.266
1,2,"Hawaii",3.66,3.837,4.024,4.256
1,3,"Hawaii",3.657,3.84,4.026,4.244
1,1,"Idaho",2.678,2.846,3.036,3.281
1,2,"Idaho",2.675,2.838,3.042,3.28
1,3,"Idaho",2.669,2.838,3.035,3.277
1,1,"Illinois",2.7,3.03,3.429,2.992
1,2,"Illinois",2.705,3.035,3.437,2.991
1,3,"Illinois",2.695,3.039,3.438,2.99
1,1,"Indiana",2.517,2.822,3.137,3.028
1,2,"Indiana",2.506,2.815,3.13,3.026
1,3,"Indiana",2.491,2.807,3.122,3.024
1,1,"Iowa",2.377,2.543,2.908,2.87
1,2,"Iowa",2.375,2.542,2.909,2.867
1,3,"Iowa",2.376,2.534,2.909,2.863
1,1,"Kansas",2.289,2.535,2.782,2.776
1,2,"Kansas",2.285,2.534,2.774,2.774
1,3,"Kansas",2.283,2.53,2.771,2.775
1,1,"Kentucky",2.46,2.749,3.05,2.848
1,2,"Kentucky",2.461,2.76,3.061,2.848
1,3,"Kentucky",2.449,2.761,3.06,2.851
1,1,"Louisiana",2.317,2.618,2.924,2.75
1,2,"Louisiana",2.321,2.623,2.92,2.754
1,3,"Louisiana",2.326,2.628,2.929,2.754
1,1,"Maine",2.576,2.883,3.119,3.064
1,2,"Maine",2.579,2.881,3.121,3.065
1,3,"Maine",2.582,2.876,3.119,3.071
1,1,"Maryland",2.522,2.903,3.124,3.001
1,2,"Maryland",2.521,2.905,3.143,3.001
1,3,"Maryland",2.514,2.901,3.14,3.003
1,1,"Massachusetts",2.581,2.864,3.066,3.021
1,2,"Massachusetts",2.582,2.865,3.062,3.022
1,3,"Massachusetts",2.586,2.867,3.064,3.028
1,1,"Michigan",2.574,2.903,3.239,3.003
1,2,"Michigan",2.565,2.896,3.228,2.998
1,3,"Michigan",2.55,2.885,3.216,2.998
1,1,"Minnesota",2.414,2.634,2.954,2.973
1,2,"Minnesota",2.412,2.637,2.954,2.969
1,3,"Minnesota",2.414,2.638,2.959,2.967
1,1,"Mississippi",2.284,2.581,2.907,2.719
1,2,"Mississippi",2.289,2.581,2.91,2.72
1,3,"Mississippi",2.294,2.579,2.912,2.724
1,1,"Missouri",2.221,2.451,2.728,2.673
1,2,"Missouri",2.221,2.453,2.728,2.674
1,3,"Missouri",2.219,2.452,2.726,2.675
1,1,"Montana",2.605,2.83,3.105,2.872
1,2,"Montana",2.598,2.822,3.098,2.87
1,3,"Montana",2.596,2.812,3.076,2.862
1,1,"Nebraska",2.432,2.531,2.893,2.848
1,2,"Nebraska",2.422,2.52,2.88,2.841
1,3,"Nebraska",2.424,2.525,2.902,2.844
1,1,"Nevada",3.036,3.25,3.41,3.234
1,2,"Nevada",3.035,3.248,3.409,3.232
1,3,"Nevada",3.033,3.243,3.402,3.232
1,1,"New Hampshire",2.492,2.816,3.064,2.945
1,2,"New Hampshire",2.492,2.814,3.057,2.944
1,3,"New Hampshire",2.496,2.81,3.061,2.955
1,1,"New Jersey",2.613,2.966,3.15,3.061
1,2,"New Jersey",2.614,2.96,3.146,3.061
